CustomerID,Lookalikes
C0001,"[('C0137', 0.979), ('C0191', 0.9706), ('C0011', 0.9489)]"
C0002,"[('C0088', 0.9848), ('C0142', 0.9783), ('C0043', 0.9638)]"
C0003,"[('C0190', 0.9807), ('C0147', 0.9558), ('C0174', 0.9319)]"
C0004,"[('C0165', 0.9826), ('C0113', 0.9819), ('C0012', 0.956)]"
C0005,"[('C0140', 0.9899), ('C0123', 0.9779), ('C0186', 0.9758)]"
C0006,"[('C0048', 0.9726), ('C0187', 0.9497), ('C0107', 0.9403)]"
C0007,"[('C0146', 0.9959), ('C0115', 0.963), ('C0078', 0.9336)]"
C0008,"[('C0018', 0.9503), ('C0109', 0.9348), ('C0068', 0.9009)]"
C0009,"[('C0061', 0.972), ('C0167', 0.9428), ('C0198', 0.936)]"
C0010,"[('C0121', 0.9715), ('C0111', 0.9548), ('C0172', 0.9408)]"
C0011,"[('C0107', 0.9758), ('C0001', 0.9489), ('C0137', 0.9307)]"
C0012,"[('C0153', 0.9846), ('C0163', 0.9766), ('C0102', 0.9734)]"
C0013,"[('C0148', 0.9911), ('C0104', 0.9892), ('C0188', 0.9854)]"
C0014,"[('C0119', 0.9838), ('C0063', 0.9835), ('C0062', 0.961)]"
C0015,"[('C0058', 0.9933), ('C0131', 0.9731), ('C0020', 0.9559)]"
C0016,"[('C0185', 0.9873), ('C0050', 0.9684), ('C0079', 0.9683)]"
C0017,"[('C0075', 0.9687), ('C0124', 0.9517), ('C0041', 0.9377)]"
C0018,"[('C0068', 0.961), ('C0008', 0.9503), ('C0046', 0.9358)]"
C0019,"[('C0166', 0.9951), ('C0073', 0.987), ('C0197', 0.9756)]"
C0020,"[('C0131', 0.966), ('C0015', 0.9559), ('C0058', 0.9328)]"
C0021,"[('C0200', 0.9823), ('C0138', 0.9728), ('C0145', 0.9625)]"
C0022,"[('C0200', 0.9786), ('C0021', 0.9404), ('C0093', 0.9277)]"
C0023,"[('C0196', 0.9846), ('C0100', 0.9831), ('C0170', 0.9216)]"
C0024,"[('C0139', 0.9866), ('C0067', 0.9609), ('C0183', 0.9494)]"
C0025,"[('C0071', 0.9973), ('C0077', 0.9928), ('C0112', 0.9923)]"
C0026,"[('C0154', 0.9768), ('C0139', 0.976), ('C0183', 0.9681)]"
C0027,"[('C0106', 0.9777), ('C0088', 0.9649), ('C0002', 0.9516)]"
C0028,"[('C0143', 0.9903), ('C0045', 0.9886), ('C0173', 0.9874)]"
C0029,"[('C0157', 0.9958), ('C0144', 0.976), ('C0094', 0.9743)]"
C0030,"[('C0055', 0.9835), ('C0038', 0.9799), ('C0160', 0.9734)]"
C0031,"[('C0052', 0.9825), ('C0112', 0.9643), ('C0129', 0.9476)]"
C0032,"[('C0083', 0.9951), ('C0077', 0.99), ('C0071', 0.9897)]"
C0033,"[('C0144', 0.9748), ('C0094', 0.9656), ('C0060', 0.9407)]"
C0034,"[('C0049', 0.9688), ('C0072', 0.9154), ('C0038', 0.9101)]"
C0035,"[('C0189', 0.9769), ('C0036', 0.9669), ('C0055', 0.9601)]"
C0036,"[('C0029', 0.9669), ('C0035', 0.9669), ('C0157', 0.9497)]"
C0037,"[('C0064', 0.9851), ('C0149', 0.9584), ('C0170', 0.9518)]"
C0038,"[('C0072', 0.9933), ('C0176', 0.9882), ('C0030', 0.9799)]"
C0039,"[('C0195', 0.9891), ('C0169', 0.9881), ('C0113', 0.9575)]"
C0040,"[('C0115', 0.9631), ('C0007', 0.8653), ('C0078', 0.8428)]"
C0041,"[('C0053', 0.9663), ('C0075', 0.9631), ('C0017', 0.9377)]"
C0042,"[('C0050', 0.9865), ('C0185', 0.9626), ('C0016', 0.9155)]"
C0043,"[('C0097', 0.9853), ('C0002', 0.9638), ('C0110', 0.9452)]"
C0044,"[('C0066', 0.986), ('C0074', 0.9858), ('C0089', 0.9339)]"
